カード名,ポイント
カタパルト・タートル,100
異星の最終戦士,100
遺言状,100
押収,100
いたずら好きな双子悪魔,100
強引な番兵,100
王宮の勅命,100
禁止令,100
魔封じの芳香,100
大寒波,100
昇霊術師 ジョウゲン,100
王宮の弾圧,100
ラストバトル！,100
大逆転クイズ,100
カイザーコロシアム,100
群雄割拠,100
王立魔法図書館,100
マスドライバー,100
スキルドレイン,100
終焉のカウントダウン,100
自爆スイッチ,100
暗黒界の軍神 シルバ,100
ライフチェンジャー,100
虚無魔人,100
虚無の統括者,100
簡易融合,100
エンジェルO7,100
フォッシル・ダイナ パキケファロ,100
アルカナフォースⅩⅩⅠ-THE WORLD,100
デッキロック,100
サモンリミッター,100
念動増幅装置,100
魔法族の里,100
御前試合,100
超魔神イド,100
大天使クリスティア,100
脳開発研究所,100
レベル・スティーラー,100
儀式魔人リリーサー,100
六武の門,100
ナチュル・エクストリオ,100
The tyrant NEPTUNE,100
大熱波,100
虚無空間,100
能力吸収石,100
暴君の暴言,100
イビリチュア・ガストクラーケ,100
No.16 色の支配者ショック・ルーラー,100
ヴェルズ・ウロボロス,100
ソウルドレイン,100
氷霊神ムーラングレイス,100
深淵に潜む者,100
メンタルドレイン,100
手違い,100
魔王龍 ベエルゼ,100
威光魔人,100
No.43 魂魄傀儡鬼ソウル・マリオネッター,100
召喚制限-ディスコードセクター,100
アーティファクト-デスサイズ,100
外神アザトート,100
アルティマヤ・ツィオルキン,100
星守の騎士 プトレマイオス,100
一回休み,100
SNo.0 ホープ・ゼアル,100
PSYフレームロード・Ω,100
永遠の淑女 ベアトリーチェ,100
竜の束縛,100
虚竜魔王アモルファクターP,100
No.59 背反の料理人,100
次元障壁,100
召喚獣カリギュラ,100
ハーピィの羽根吹雪,100
真竜皇V.F.D.,100
No.41 泥睡魔獣バグースカ,100
接触するG,100
センサー万別,100
夢幻崩界イヴリース,100
ジャンク・スピーダー,100
魔鍾洞,100
マジシャン・オブ・ブラックカオス・MAX,100
超魔導竜騎士-ドラグーン・オブ・レッドアイズ,100
アークネメシス・プロートス,100
アークネメシス・エスカトス,100
発禁令,100
逢華妖麗譚-魔妖不知火語,100
原罪宝-スネークアイ,100
究極竜魔導師,100
盃満ちる燦幻荘,100
地獄人形の館,100
天羽々斬之巳剣,100
クシャトリラ・アライズハート,97
苦渋の選択,95
魔導サイエンティスト,95
ダスト・シュート,94
三戦の才,93
ギブ＆テイク,91
ワン・フォー・ワン,91
旧神ノーデン,91
ダイノルフィア・レクスターム,91
インフェルニティガン,88
盗人の煙玉,87
妖精伝姫-シラユキ,85
No.89 電脳獣ディアブロシス,85
No.1 インフェクション・バアル・ゼブル,85
バハムート・シャーク,81
ラヴァルバル・チェイン,80
轟雷帝ザボルグ,80
No.97 龍影神ドラッグラビオン,80
フルール・ド・バロネス,80
No.99 希望皇ホープドラグナー,80
赤き竜,80
DDD双暁王カリ・ユガ,77
ファントム・オブ・ユベル,76
マジカル・エクスプロージョン,75
コアキメイル・ドラゴ,75
ゼンマイハンター,75
幻創のミセラサウルス,75
深淵の結界像,70
豪雨の結界像,70
業火の結界像,70
烈風の結界像,70
干ばつの結界像,70
閃光の結界像,70
重爆撃禽 ボム・フェネクス,70
ギミック・パペット-ナイトメア,70
M・HERO ダーク・ロウ,70
No.75 惑乱のゴシップ・シャドー,70
ナンバーズ・エヴァイユ,70
No.67 パラダイスマッシャー,67
超雷龍-サンダー・ドラゴン,67
ジェムナイトマスター・ダイヤ,66
十二獣ブルホーン,66
失烙印,66
第六感,65
サイキック・ブロッカー,61
イレカエル,60
粋カエル,60
エルシャドール・ミドラーシュ,60
半魔導帯域,60
D・テレホン,55
D.D.ダイナマイト,51
ブラック・ガーデン,51
地縛神 Aslla piscu,51
ジェムナイトレディ・ラピスラズリ,51
魔獣の大餌,51
巳剣勧請,51
巳剣降臨,51
名推理,50
モンスターゲート,50
異次元からの帰還,50
連鎖爆撃,50
ナチュル・ビースト,50
紅蓮の指名者,50
増殖するG,50
No.40 ギミック・パペット-ヘブンズ・ストリングス,50
巡死神リーパー,50
CNo.40 ギミック・パペット-デビルズ・ストリングス,50
帝王の溶撃,50
ソウル・チャージ,50
虹光の宣告者,50
No.95 ギャラクシーアイズ・ダークマター・ドラゴン,50
真帝王領域,50
十二獣モルモラット,50
隣の芝刈り,50
レッド・リブート,50
混沌魔龍 カオス・ルーラー,50
真血公ヴァンパイア,50
ティアラメンツ・メイルゥ,50
ティアラメンツ・シェイレーン,50
ティアラメンツ・ハゥフニス,50
ティアラメンツ・レイノハート,50
ティアラメンツ・キトカロス,50
壱世壊＝ペルレイノ,50
古尖兵ケルベク,50
古衛兵アギド,50
天盃龍チュンドラ,50
燦幻開門,50
次元融合,45
天使の施し,40
手札抹殺,40
ハリケーン,40
王家の眠る谷-ネクロバレー,40
命削りの宝札,40
サイバー・エンジェル-弁天-,40
海皇の竜騎隊,40
魔獣の懐柔,40
混沌領域,40
金満で謙虚な壺,40
烙印融合,40
増援,35
緊急テレポート,35
化石調査,35
炎舞-「天璣」,35
メタモルポット,33
サイバーポッド,33
生還の宝札,33
おろかな埋葬,33
テラ・フォーミング,33
ドラゴン・目覚めの旋律,33
ローンファイア・ブロッサム,33
光の援軍,33
フィッシュボーグ-ガンナー,33
鬼ガエル,33
紫炎の狼煙,33
TG ハイパー・ライブラリアン,33
暗黒界の術師 スノウ,33
M.X-セイバー インヴォーカー,33
発条空母ゼンマイティ,33
エクリプス・ワイバーン,33
キングレムリン,33
オノマト連携,33
海皇子 ネプトアビス,33
ブリリアント・フュージョン,33
妨げられた壊獣の眠り,33
ブロックドラゴン,33
源竜星-ボウテンコウ,33
十二獣の会局,33
魔玩具補綴,33
真竜剣皇マスターP,33
ドラゴニックD,33
盆回し,33
剣闘獣総監エーディトル,33
クイック・リボルブ,33
シューティング・ライザー・ドラゴン,33
フュージョン・デステニー,33
輝光竜セイファート,33
御影志士,33
深海のアリア,33
宣告者の神巫,33
天底の使徒,33
ヌメロン・ネットワーク,33
竜輝巧-バンα,33
竜輝巧-ファフμβ’,33
ふわんだりぃず×ろびーな,33
相剣大師-赤霄,33
ふわんだりぃずと謎の地図,33
ガーディアン・キマイラ,33
ふわんだりぃずと旅じたく,33
ウェルカム・ラビュリンス,33
分かつ烙印,33
深淵の獣マグナムート,33
迷宮城の白銀姫,33
オオヒメの御巫,33
六世壊＝パライゾス,33
ビッグウェルカム・ラビュリンス,33
真炎竜アルビオン,33
コーンフィールド コアトル,33
EMERGENCY！,33
篝火,33
ホルスの栄光-イムセティ,33
ヘルフレイムバンシー,33
“罪宝狩りの悪魔”,33
王の棺,33
メメント・ボーン・パーティー,33
百鬼羅刹大参上,33
粛声なる結界,33
メメント・ツイン・ドラゴン,33
騎士皇アークシーラ,33
古代の進軍,33
千年の眠りから覚めし原人,33
冥骸王-メメントラン・テクトリカ,33
無限竜シュヴァルツシルト,33
古代の機械像,33
告死聖徒ルシエラーゴ,33
迫りくる機械,33
罪宝の欺き,33
原石の皇脈,33
青き眼の祈り,33
クリストロン・インクルージョン,33
白き森の魔女,33
再世記,33
VS ホーリー・スー,33
メガリス・アナスタシス,33
No.86 H-C ロンゴミアント,31
強欲な壺,30
ファイバーポッド,30
ヌメロン・ダイレクト,30
深淵の獣ドルイドヴルム,30
深淵の獣ルベリオン,30
クシャトリラ・フェンリル,30
クシャトリラ・ユニコーン,30
深淵の獣バルドレイク,30
デビル・フランケン,27
剣闘訓練所,25
ユニオン格納庫,25
龍相剣現,25
ナイトメア・スローン,25
幻禄の天盃龍,25
白き森の妖魔ディアベル,25
霊王の波動,25
エクス・ライゼオル,25
白き森の聖徒リゼット,22
グローアップ・バルブ,21
聖珖神竜 スターダスト・シフル,21
琰魔竜王 レッド・デーモン・カラミティ,21
No.100 ヌメロン・ドラゴン,21
コズミック・ブレイザー・ドラゴン,21
マジック・キャンセラー,20
D-HERO Bloo-D,20
ライオウ,20
電光-雪花-,20
サイバー・ドラゴン・インフィニティ,20
琰魔竜 レッド・デーモン・アビス,20
No.38 希望魁竜タイタニック・ギャラクシー,20
強欲で貪欲な壺,20
餅カエル,20
十二獣ドランシア,20
DDD怒涛大王エグゼクティブ・シーザー,20
インスペクト・ボーダー,20
墓穴の指名者,20
F.A.ライトニングマスター,20
ライトニング・ストーム,20
FNo.0 未来龍皇ホープ,20
ドラゴンメイド・シュトラール,20
魔救の奇跡-ドラガイト,20
電脳堺狐-仙々,20
天霆號アーゼウス,20
烙印竜アルビオン,20
LL-バード・コール,20
D-HERO デストロイフェニックスガイ,20
流離のグリフォンライダー,20
サイコ・エンド・パニッシャー,20
ギガンティック・スプライト,20
深淵の獣サロニール,20
BF-魔風のボレアース,20
カオス・アンヘル-混沌の双翼-,20
エヴォルカイザー・ラーズ,20
黒魔女ディアベルスター,20
炎王妃 ウルカニクス,20
幻惑の見習い魔術師,20
終戒超獸-ヴァルドラス,20
幻の召喚神エクゾディア,20
光と闇の竜王,20
背信聖徒シルヴィア,20
ソード・ライゼオル,20
アイス・ライゼオル,20
ライゼオル・デュオドライブ,20
ライゼオル・デッドネーダー,20
ドラゴンメイド・ラティス,20
星辰砲手ファイメナ,20
星辰爪竜アルザリオン,20
K9-17号 イヅナ,20
K9-17号 “Ripper”,20
赫灼竜マスカレイド,16
ハーピィの羽根帚,15
PSYフレームギア・γ,15
灰流うらら,15
ピュアリィ,15
ピュアリィ・スリーピィメモリー,15
K9-66a号 ヨクル,15
K9-04号 咒,15
The Fallen & The Virtuous,15
超融合,13
氷結界の龍 トリシューラ,13
BF-精鋭のゼピュロス,13
幻子力空母エンタープラズニル,13
幻竜星-チョウホウ,13
地中界シャンバラ,13
無限泡影,13
天威龍-アシュナ,13
三戦の号,13
クイズ,11
一時休戦,11
VS ラゼン,11
VS 蛟龍,11
死者蘇生,10
心変わり,10
王宮のお触れ,10
大嵐,10
封印の黄金櫃,10
ナチュル・パルキオン,10
異次元グランド,10
真六武衆-シエン,10
六武衆の荒行,10
紫炎の道場,10
グリザイユの牢獄,10
霊獣使いの長老,10
フレシアの蟲惑魔,10
儀式の下準備,10
拮抗勝負,10
No.90 銀河眼の光子卿,10
ダイナレスラー・パンクラトプス,10
混源龍レヴィオニア,10
強欲で金満な壺,10
No.60 刻不知のデュガレス,10
抹殺の指名者,10
剣闘排斥波,10
ディメンション・アトラクター,10
エルシャドール・アプカローネ,10
灰燼竜バスタード,10
禁じられた一滴,10
影依の偽典,10
ドラゴンメイドのお片付け,10
CNo.1 ゲート・オブ・カオス・ヌメロン-シニューニャ,10
No.1 ゲート・オブ・ヌメロン-エーカム,10
No.2 ゲート・オブ・ヌメロン-ドゥヴェー,10
No.3 ゲート・オブ・ヌメロン-トゥリーニ,10
No.4 ゲート・オブ・ヌメロン-チャトゥヴァーリ,10
痕喰竜ブリガンド,10
鉄駆竜スプリンド,10
エクソシスター・ミカエリス,10
エクソシスター・パークス,10
N・As・H Knight,10
氷剣竜ミラジェイド,10
神炎竜ルベリオン,10
スプライト・スターター,10
御巫の水舞踏,10
赫焉竜グランギニョル,10
表裏一体,10
ピュアリィ・リリィ,10
深淵の神獣ディス・パテル,10
R-ACEプリベンター,10
厄災の星ティ・フォン,10
炎王神獣 キリン,10
真炎王 ポニクス,10
嗤う黒山羊,10
精霊獣使い レラ,10
光道の龍,10
マルチャミー・プルリア,10
聖王の粉砕,10
真魔六武衆-シエン,10
列王詩篇,10
計都星辰,10
K9-EX “Werewolf”,10
聖痕喰らいし竜,10
サンダー・ボルト,7
神の宣告,7
強奪,7
早すぎた埋葬,7
月の書,7
左腕の代償,7
エフェクト・ヴェーラー,7
巌征竜-レドックス,7
瀑征竜-タイダル,7
焔征竜-ブラスター,7
嵐征竜-テンペスト,7
飛翔するG,7
チキンレース,7
旧神ヌトス,7
SRベイゴマックス,7
PSYフレームギア・δ,7
PSYフレームギア・ε,7
復活の福音,7
未界域のネッシー,7
未界域のジャッカロープ,7
未界域のツチノコ,7
斬機シグマ,7
トランザクション・ロールバック,7
竜の影光,7
マルチャミー・フワロス,7
百鬼羅刹大収監,7
竜の精神,7
ドドドドウォリアー,7
トラップホリック,7
突然変異,5
暗黒界の取引,5
闇の誘惑,5
皆既日蝕の書,5
禁じられた聖杯,5
儀式の準備,5
神の警告,5
ドロール＆ロックバード,5
暗黒界の龍神 グラファ,5
暗黒界の門,5
RUM-アージェント・カオス・フォース,5
光天使セプター,5
光天使スローネ,5
神の忠告,5
応戦するG,5
神の通告,5
RUM-ソウル・シェイブ・フォース,5
RUM-スキップ・フォース,5
水晶機巧-スモーガー,5
水晶機巧-シストバーン,5
サブテラーの導師,5
屋敷わらし,5
原始生命態ニビル,5
No.3 地獄蝉王ローカスト・キング,5
LL-ベリル・カナリー,5
相剣軍師-龍淵,5
No-P.U.N.K.フォクシー・チューン,5
アラメシアの儀,5
聖殿の水遣い,5
鉄獣鳥 メルクーリエ,5
戎の忍者-冥禪,5
暗黒界の文殿,5
暗黒界の龍神王 グラファ,5
R-ACEインパルス,5
R-ACEエアホイスター,5
ストレイ・ピュアリィ・ストリート,5
魔砲戦機ダルマ・カルマ,5
冑の忍者-櫓丸,5
アサルト・シンクロン,5
スネークアイ・エクセル,5
重騎士プリメラ,5
スタンドアップ・センチュリオン！,5
蛇眼の炎燐,5
鉄騎の雷鎚,5
光と昇華の竜,5
闇と消滅の竜,5
心宿りし青眼竜,5
王の遺宝祀りし聖域,5
星辰竜ムルル,5
K9-ØØ号 ルプス,5
創獄神ネルヴァ,5
斎キ狭依姫,5
命王の螺旋,5
ブラック・ホール,3
成金ゴブリン,3
おジャマトリオ,3
暗黒界の狩人 ブラウ,3
E・HERO エアーマン,3
コアキメイル・ガーディアン,3
擬似空間,3
コアキメイル・サンドマン,3
無の煉獄,3
コアキメイル・ウォール,3
禁じられた聖槍,3
魔界発現世行きデスガイド,3
惑星探査車,3
トーテムバード,3
コアキメイル・オーバードーズ,3
幽鬼うさぎ,3
古聖戴サウラヴィス,3
おろかな副葬,3
メタバース,3
トラップトリック,3
未界域のビッグフット,3
未界域のチュパカブラ,3
未界域のサンダーバード,3
未界域のワーウルフ,3
未界域のモスマン,3
儚無みずき,3
未界域のオゴポゴ,3
朔夜しぐれ,3
教導の聖女エクレシア,3
電脳堺媛-瑞々,3
相剣師-莫邪,3
白の聖女エクレシア,3
アストラル・クリボー,3
赫の聖女カルテシア,3
導きの聖女クエム,3
従騎士トゥルーデア,3
多元宇宙,3
鎧騎士竜-ナイト・アームド・ドラゴン-,3
千年の十字,3
水晶機巧-サルファドール,3
マルチャミー・ニャルス,3
おジャマデュオ,2
センジュ・ゴッド,1
強制転移,1
蝶の短剣-エルマ,1
マンジュ・ゴッド,1
終焉の地,1
光の結界,1
メンタルマスター,1
イビリチュア・マインドオーガス,1
リチュアの儀水鏡,1
ダイガスタ・エメラル,1
No.69 紋章神コート・オブ・アームズ,1
RUM-バリアンズ・フォース,1
RUM-リミテッド・バリアンズ・フォース,1
RUM-ヌメロン・フォース,1
RUM-アストラル・フォース,1
RUM-七皇の剣,1
ラーの使徒,1
RUM-クイック・カオス,1
RUM-千死蛮巧,1
ジェット・シンクロン,1
RUM-レヴォリューション・フォース,1
真紅眼の鋼炎竜,1
RUM-ラプターズ・フォース,1
RUM-レイド・フォース,1
RUM-デス・ダブル・フォース,1
RUM-幻影騎士団ラウンチ,1
RUM-光波昇華,1
LL-インディペンデント・ナイチンゲール,1
覇王眷竜スターヴ・ヴェノム,1
イーバ,1
星遺物の胎導,1
RUM-ファントム・フォース,1
RUM-ゼアル・フォース,1
HRUM-ユートピア・フォース,1
ダイノルフィア・ドメイン,1
ダイノルフィア・フレンジー,1
宿神像ケルドウ,1
剣神官ムドラ,1
ブラックフェザー・アサルト・ドラゴン,1
影の王 レイヴァーテイン,1
リチュアの氷魔鏡,1
ダイノルフィア・インタクト,1
ЯRUM-レイド・ラプターズ・フォース,1
RUM-マジカル・フォース,1
QQエニアゴン,1
黒薔薇の破滅竜,1
