ポイント,カード名
100,地獄人形の館
100,ジャンク・スピーダー
100,ナチュル・エクストリオ
100,No.16 色の支配者ショック・ルーラー
100,No.41 泥睡魔獣バグースカ
100,No.43 魂魄傀儡鬼ソウル・マリオネッター
100,No.59 背反の料理人
100,No.97 龍影神ドラッグラビオン
100,SNo.0 ホープ・ゼアル
100,盃満ちる燦幻荘
100,暗黒界の軍神 シルバ
100,原罪宝－スネークアイ
100,逢華妖麗譚－魔妖不知火語
100,深淵に潜む者
100,虚竜魔王アモルファクターP
100,召喚制限－ディスコードセクター
100,エンジェルO７
100,魔封じの芳香
100,アルカナフォースⅩⅩⅠ－THE WORLD
100,大天使クリスティア
100,アークネメシス・エスカトス
100,アークネメシス・プロートス
100,アーティファクト－デスサイズ
100,永遠の淑女 ベアトリーチェ
100,脳開発研究所
100,カタパルト・タートル
100,大寒波
100,押収
100,接触するG
100,赤き竜
100,デッキロック
100,いたずら好きな双子悪魔
100,次元障壁
100,儀式魔人リリーサー
100,究極竜魔導師
100,竜の束縛
100,終焉のカウントダウン
100,フォッシル・ダイナ パキケファロ
100,六武の門
100,御前試合
100,ハーピィの羽根吹雪
100,大熱波
100,超魔神イド
100,王宮の勅命
100,簡易融合
100,昇霊術師 ジョウゲン
100,カイザーコロシアム
100,夢幻崩界イヴリース
100,遺言状
100,レベル・スティーラー
100,ライフチェンジャー
100,一回休み
100,マジシャン・オブ・ブラックカオス・MAX
100,威光魔人
100,マスドライバー
100,メンタルドレイン
100,手違い
100,氷霊神ムーラングレイス
100,魔鍾洞
100,外神アザトート
100,能力吸収石
100,禁止令
100,PSYフレームロード・Ω
100,超魔導竜騎士－ドラグーン・オブ・レッドアイズ
100,群雄割拠
100,王立魔法図書館
100,王宮の弾圧
100,発禁令
100,魔法族の里
100,自爆スイッチ
100,スキルドレイン
100,ソウルドレイン
100,サモンリミッター
100,念動増幅装置
100,星守りの騎士 プトレマイオス
100,強引な番兵
100,異星の最終戦士
100,The tyrant NEPTUNE
100,センサー万別
100,真竜皇V.F.D.
100,暴君の暴言
100,アルティマヤ・ツィオルキン
100,虚無空間
100,虚無魔人
100,虚無の統括者
97,クシャトリラ・アライズハート
95,魔導サイエンティスト
95,苦渋の選択
94,ダスト・シュート
93,三戦の才
91,ダイノルフィア・レクスターム
91,旧神ノーデン
91,ギブ＆テイク
91,ワン・フォー・ワン
90,召喚獣カリギュラ
88,インフェルニティガン
87,盗人の煙玉
85,No.1 インフェクション・バアル・ゼブル
85,No.89 電脳獣ディアブロシス
85,フルール・ド・バロネス
85,妖精伝姫－シラユキ
81,バハムート・シャーク
80,ラヴァルバル・チェイン
80,轟雷帝ザボルグ
77,DDD双暁王カリユガ
75,コアキメイル・ドラゴ
75,ラストバトル！
75,マジカル・エクスプロージョン
75,幻創のミセラサウルス
75,ゼンマイハンター
70,No.75 惑乱のゴシップ・シャドー
70,ナンバーズ・エヴァイユ
70,重爆撃禽 ボム・フェネクス
70,ギミック・パペット－ナイトメア
70,M・HERO ダーク・ロウ
67,超雷竜ーサンダー・ドラゴン
67,No.67 パラダイスマッシャー
67,ヴェルズ・ウロボロス
66,失烙印
66,ジェムナイトマスター・ダイヤ
66,十二獣ブルホーン
65,第六感
61,サイキック・ブロッカー
60,エルシャドール・ミドラーシュ
60,深淵の結界像
60,干ばつの結界像
60,閃光の結界像
60,業火の結界像
60,烈風の結界像
60,豪雨の結界像
60,半魔導帯域
60,巳剣勧請
60,巳剣降臨
60,粋カエル
60,イレカエル
55,D・テレホン
50,古衛兵アギド
50,古尖兵ケルベク
50,No.40 ギミック・パペット－ヘブンズ・ストリングス
50,CNo.40 ギミック・パペット－デビルズ・ストリングス
50,No.95 ギャラクシーアイズ・ダークマター・ドラゴン
50,ティアラメンツ・ハゥフニス
50,ティアラメンツ・キトカロス
50,ティアラメンツ・メイルゥ
50,ティアラメンツ・レイノハート
50,ティアラメンツ・シェイレーン
50,ナチュル・ビースト
50,ナイトメア・スローン
50,ファントム・オブ・ユベル
50,天盃龍チュンドラ
50,紅蓮の指名者
50,連鎖爆撃
50,混沌魔龍 カオス・ルーラー
50,真帝王領域
50,虹光の宣告者
50,増殖するG
50,モンスターゲート
50,巡死神リーパー
50,壱世壊＝ペルレイノ
50,名推理
50,レッド・リブート
50,異次元からの帰還
50,燦幻開門
50,ソウル・チャージ
50,隣の芝刈り
50,帝王の溶撃
50,真血公ヴァンパイア
50,十二獣モルモラット
45,次元融合
40,海皇の竜騎隊
40,手札抹殺
40,命削りの宝札
40,生還の宝札
40,混沌領域
40,サイバー・エンジェル－弁天－
40,緊急テレポート
40,炎舞－「天璣」
40,化石調査
40,ハリケーン
40,天使の施し
40,ライトニング・ストーム
40,王家の眠る谷－ネクロバレー
40,魔獣の懐柔
40,金満で謙虚な壺
40,増援
33,百鬼羅刹大参上
33,ヌメロン・ネットワーク
33,深淵の獣マグナムート
33,ホルスの栄光－イムセティ
33,王の棺
33,ビッグウェルカム・ラビュリンス
33,白銀の城のラビュリンス
33,ウェルカム・ラビュリンス
33,再世記
33,暗黒界の術師 スノウ
33,海皇子 ネプトアビス
33,真炎竜アルビオン
33,分かつ烙印
33,烙印融合
33,神炎竜ルベリオン
33,氷剣竜ミラジェイド
33,龍相剣現
33,相剣大師ー赤霄
33,告死聖徒ルシエラーゴ
33,罪宝の欺き
33,"罪宝狩りの悪魔"
33,白き森の魔女
33,古代の進軍
33,古代の機械像
33,粛声なる結界
33,ブロックドラゴン
33,篝火
33,ブリリアント・フュージョン
33,騎士皇アークシーラ
33,光の援軍
33,コーンフィールド コアトル
33,クリストロン・インクルージョン
33,サイバーポッド
33,深海のアリア
33,源竜星－ボウテンコウ
33,宣告者の神巫
33,ドラゴニックD
33,竜輝巧－バンα
33,竜輝巧－ファフμβ’
33,エクリプス・ワイバーン
33,EMERGENCY!
33,フィッシュボーグ－ガンナー
33,ふわんだりぃず×ろびーな
33,ふわんだりぃずと旅じたく
33,ふわんだりぃずと謎の地図
33,おろかな埋葬
33,魔玩具補綴
33,フュージョン・デステニー
33,御影志士
33,剣闘訓練所
33,ガーディアン・キマイラ
33,迫りくる機械
33,ヘルフレイムバンシー
33,妨げられた壊獣の眠り
33,キングレムリン
33,ローンファイア・ブロッサム
33,M.X－セイバー インヴォーカー
33,真竜剣皇マスターP
33,冥骸王－メメントラン・テクトリカ
33,メメント・ボーン・パーティー
33,メメント・ツイン・ドラゴン
33,メタモルポット
33,天底の使徒
33,幻惑の見習い魔術師
33,オオヒメの御巫
33,オノマト連携
33,六世壊＝パライゾス
33,原石の皇脈
33,クイック・リボルブ
33,無限竜シュヴァルツシルト
33,千年の眠りから覚めし原人
33,盆回し
33,紫炎の狼煙
33,シューティング・ライザー・ドラゴン
33,輝光竜セイファート
33,鬼ガエル
33,TG ハイパー・ライブラリアン
33,天威龍ーアシュナ
33,テラ・フォーミング
33,地中界シャンバラ
33,ドラゴン・目覚めの旋律
33,ユニオン格納庫
33,発条空母ゼンマイティ
33,青き眼の祈り
33,十二獣の会局
31,No.86 H－C ロンゴミアント
30,クシャトリラ・フェンリル
30,クシャトリラ・ユニコーン
30,ヌメロン・ダイレクト
30,深淵の獣バルドレイク
30,深淵の獣ドルイドヴルム
30,深淵の獣ルベリオン
30,霊王の波動
30,ファイバーポッド
30,ハーピィの羽根帚
30,強欲な壺
27,デビル・フランケン
25,幻禄の天盃龍
25,白き森の妖魔ディアベル
25,エクス・ライゼオル
25,早すぎた埋葬
22,白き森の聖徒リゼット
21,グローアップ・バルブ
